,NAME,STATENAME,HOMICIDES,HOMICIDES_BLACK,SHARE_BLACK_K,HOMICIDES_WHITE,SHARE_WHITE_K,POPULATION,BLACK_POPULATION,SHARE_BLACK,WHITE_POPULATION,SHARE_WHITE,SHARE_POVERTY,OFFICERS/1kPOP,RATIO
4865,Lino Lakes Police Department,Minnesota,1,1,1.0,0,0.0,20478,123,0.006,18606,0.933,0.028,1.203,162.195
1074,Trinidad Police Dept,Colorado,2,1,0.5,0,0.0,8939,26,0.003,3166,0.414,0.207,3.008,147.038
10983,Saratoga Springs Police Department,Utah,1,1,1.0,0,0.0,18546,256,0.009,24257,0.889,0.02,0.879,106.645
2008,Maui (County) Police Department,Hawaii,2,1,0.5,0,0.0,158760,880,0.005,49563,0.305,0.097,2.108,92.466
665,South Lake Tahoe Police Department,California,1,1,1.0,0,0.0,21586,243,0.011,13690,0.636,0.136,1.672,88.617
2434,Highland Park Police Dept,Illinois,1,1,1.0,0,0.0,29896,384,0.013,25743,0.872,0.05,1.828,76.909
662,Walnut Creek Police Department,California,1,1,1.0,0,0.0,65816,1141,0.017,47011,0.69,0.062,1.13,59.695
734,Glendora Police Department,California,1,1,1.0,0,0.0,50903,918,0.018,25098,0.492,0.089,0.98,55.573
829,Rocklin Police Department,California,1,1,1.0,0,0.0,58865,1229,0.02,44122,0.709,0.062,0.836,50.62
2163,Des Plaines Police Dept,Illinois,1,1,1.0,0,0.0,58644,1162,0.02,36633,0.635,0.087,1.525,49.676
10367,Grand Prairie Police Department,Texas,6,1,0.167,3,0.5,181782,44213,0.232,41933,0.22,0.121,1.14,0.718
1345,Sunrise Police Department,Florida,4,1,0.25,2,0.5,87168,32290,0.35,26043,0.282,0.12,1.884,0.715
3323,Wichita Police Department,Kansas,13,1,0.077,9,0.692,386409,42662,0.111,241626,0.629,0.162,1.671,0.693
574,Jacksonville Police Department,Arkansas,4,1,0.25,3,0.75,28733,10640,0.384,13858,0.5,0.176,2.78,0.651
6160,East Orange Police,New Jersey,2,1,0.5,0,0.0,64682,54134,0.86,1101,0.017,0.191,3.51,0.582
670,Fresno Police Department,California,26,1,0.038,5,0.192,506011,38687,0.075,138316,0.269,0.269,1.433,0.51
10027,Chattanooga Police Department,Tennessee,6,1,0.167,0,0.0,171541,56242,0.331,94938,0.559,0.188,2.769,0.503
10362,Desoto Police Department,Texas,3,1,0.333,0,0.0,50795,35568,0.684,6352,0.122,0.119,1.135,0.487
858,San Bernardino Police Department,California,16,1,0.062,3,0.188,214987,27703,0.135,30265,0.148,0.284,1.327,0.462
10596,Beaumont Police Department,Texas,5,1,0.2,3,0.6,120323,55641,0.484,36703,0.32,0.199,2.168,0.413
